pos,count
CONJ,17702
ADVB,12574
ADJF,17092
NOUN,36853
VERB,20899
INFN,4610
ADJS,1413
PREP,16238
NPRO,12154
,2381
PRCL,8826
INTJ,286
GRND,2211
PRTF,2407
PRED,813
COMP,961
PRTS,476
NUMR,755
